datetime,futures_open,futures_high,futures_low,futures_close,futures_volume,open_interest
2024-01-01 09:15:00,,21727.351567249774,21683.94027540712,21705.645921328447,2821,520754
2024-01-01 09:20:00,21705.645921328447,21727.351567249774,21679.857476802375,21701.559035838214,5889,624779
2024-01-01 09:25:00,21701.559035838214,21736.052257633517,21679.857476802375,21714.337919713806,2585,602047
2024-01-01 09:30:00,21714.337919713806,21747.81419967412,21692.62358179409,21726.08811156256,5659,898063
2024-01-01 09:35:00,21726.08811156256,21747.81419967412,21671.973884222356,21693.66755177413,3280,581472
2024-01-01 09:40:00,21693.66755177413,21731.730741473555,21671.973884222356,21710.020720752804,4749,739832
2024-01-01 09:45:00,21710.020720752804,21765.860858240794,21688.310700032052,21744.116741499296,3538,800590
2024-01-01 09:50:00,21744.116741499296,21768.054477892147,21722.372624757798,21746.308169722426,1443,859820
2024-01-01 09:55:00,21746.308169722426,21768.054477892147,21705.990201405104,21727.71791932443,3067,560489
2024-01-01 10:00:00,21727.71791932443,21757.14532582932,21705.990201405104,21735.40991591341,9302,735473
2024-01-01 10:05:00,21735.40991591341,21757.14532582932,21694.3168787576,21716.03291166927,3534,615363
2024-01-01 10:10:00,21716.03291166927,21737.748944580937,21689.396372547675,21711.107480027702,1088,831733
2024-01-01 10:15:00,21711.107480027702,21743.111838113065,21689.396372547675,21721.390447665402,4390,631994
2024-01-01 10:20:00,21721.390447665402,21743.111838113065,21661.7190499973,21683.40245244975,6237,732775
2024-01-01 10:25:00,21683.40245244975,21721.987898391562,21661.7190499973,21700.287610780782,7577,598711
2024-01-01 10:30:00,21700.287610780782,21740.62843867724,21678.587323170002,21718.90952914809,2941,812405
2024-01-01 10:35:00,21718.90952914809,21740.98514585479,21697.190619618945,21719.265879974817,4310,667432
2024-01-01 10:40:00,21719.265879974817,21758.418493428344,21697.54661409484,21736.68181161673,9263,645639
2024-01-01 10:45:00,21736.68181161673,21758.418493428344,21712.717665008444,21734.45211712557,1821,782487
2024-01-01 10:50:00,21734.45211712557,21756.18656924269,21706.3933760321,21728.12149752963,9072,686865
2024-01-01 10:55:00,21728.12149752963,21780.35822537004,21706.3933760321,21758.5996257443,1815,662214
2024-01-01 11:00:00,21758.5996257443,21780.35822537004,21711.882240438586,21733.61585629488,9595,763634
2024-01-01 11:05:00,21733.61585629488,21766.2996855523,21711.882240438586,21744.555130421882,2698,711190
2024-01-01 11:10:00,21744.555130421882,21766.2996855523,21710.552187276495,21732.284471748244,8362,628369
2024-01-01 11:15:00,21732.284471748244,21764.44732280073,21710.552187276495,21742.70461818255,6691,560928
2024-01-01 11:20:00,21742.70461818255,21767.022134527637,21720.961913564366,21745.27685766997,6729,659498
2024-01-01 11:25:00,21745.27685766997,21767.022134527637,21718.119229069045,21739.8590881572,2953,618888
2024-01-01 11:30:00,21739.8590881572,21767.899820197854,21718.119229069045,21746.153666531325,5963,583401
2024-01-01 11:35:00,21746.153666531325,21767.899820197854,21712.408916249446,21734.143059308753,6986,678650
2024-01-01 11:40:00,21734.143059308753,21755.87720236806,21711.866186160827,21733.599785946775,8752,726896
2024-01-01 11:45:00,21733.599785946775,21755.33338573272,21708.05167637096,21729.78145782879,5991,860058
2024-01-01 11:50:00,21729.78145782879,21784.965235719428,21708.05167637096,21763.202033685746,4801,662795
2024-01-01 11:55:00,21763.202033685746,21784.965235719428,21717.334071287536,21739.073144431968,9447,778322
2024-01-01 12:00:00,21739.073144431968,21760.812217576397,21697.259376977123,21718.978355332456,2931,628272
2024-01-01 12:05:00,21718.978355332456,21765.99935203999,21697.259376977123,21744.255096943052,2111,692358
2024-01-01 12:10:00,21744.255096943052,21765.99935203999,21714.01490281678,21735.75065347025,1872,537622
2024-01-01 12:15:00,21735.75065347025,21757.67308747943,21714.01490281678,21735.937150329104,8954,541834
2024-01-01 12:20:00,21735.937150329104,21757.67308747943,21684.127740979075,21705.833574553628,5587,639127
2024-01-01 12:25:00,21705.833574553628,21730.952180111257,21684.127740979075,21709.242937174084,7479,892385
2024-01-01 12:30:00,21709.242937174084,21756.340889967396,21687.53369423691,21734.606283683715,2561,686390
2024-01-01 12:35:00,21734.606283683715,21766.687649792053,21712.87167740003,21744.94270708497,6526,671901
2024-01-01 12:40:00,21744.94270708497,21766.687649792053,21721.839339010727,21743.58292193266,5457,604762
2024-01-01 12:45:00,21743.58292193266,21773.718492274438,21721.839339010727,21751.966525748692,6560,573929
2024-01-01 12:50:00,21751.966525748692,21773.718492274438,21728.2999690573,21750.050019076378,8881,581396
2024-01-01 12:55:00,21750.050019076378,21771.80006909545,21710.0680730894,21731.79987296236,8715,758665
2024-01-01 13:00:00,21731.79987296236,21762.137588778758,21710.0680730894,21740.397191587173,3684,674685
2024-01-01 13:05:00,21740.397191587173,21762.155194690902,21718.656794395585,21740.414779910992,1746,754946
2024-01-01 13:10:00,21740.414779910992,21777.717181268763,21718.674365131083,21755.961220048717,6243,627000
2024-01-01 13:15:00,21755.961220048717,21777.717181268763,21728.5068736768,21750.257130807608,7826,583451
2024-01-01 13:20:00,21750.257130807608,21772.007387938414,21704.831660508542,21726.55821872727,5085,640653
2024-01-01 13:25:00,21726.55821872727,21785.414727594827,21704.831660508542,21763.651076518312,7117,581617
2024-01-01 13:30:00,21763.651076518312,21785.414727594827,21728.436812164757,21750.18699916392,2006,845681
2024-01-01 13:35:00,21750.18699916392,21771.937186163083,21724.267580804422,21746.01359439882,9129,545101
2024-01-01 13:40:00,21746.01359439882,21777.628429579712,21724.267580804422,21755.872557022692,5310,524940
2024-01-01 13:45:00,21755.872557022692,21794.313575240198,21734.11668446567,21772.541034205995,3876,568907
2024-01-01 13:50:00,21772.541034205995,21794.313575240198,21750.034807727356,21771.806614341698,3026,511016
2024-01-01 13:55:00,21771.806614341698,21793.578420956037,21740.4844865116,21762.246733244843,6556,554617
2024-01-01 14:00:00,21762.246733244843,21804.399213857643,21740.4844865116,21782.616597260385,5107,583292
2024-01-01 14:05:00,21782.616597260385,21811.63116039755,21760.833980663123,21789.84131907847,6241,502237
2024-01-01 14:10:00,21789.84131907847,21831.62746940905,21768.051477759393,21809.817651757294,6669,863922
2024-01-01 14:15:00,21809.817651757294,21831.62746940905,21773.97089885048,21795.766665515996,6399,827407
2024-01-01 14:20:00,21795.766665515996,21818.511415925597,21773.97089885048,21796.714701224377,9933,782996
2024-01-01 14:25:00,21796.714701224377,21818.511415925597,21766.94367209189,21788.732404496386,4008,898974
2024-01-01 14:30:00,21788.732404496386,21810.52113690088,21766.914075914727,21788.70277869342,8495,807147
